model_name,scnr_bin_left,scnr_bin_right,scnr_median,count_target,Pd,Euclidean_MAE_target,Euclidean_RMSE_target,Euclidean_Median_target,Euclidean_P90_target
2T2R,-100.0,-95.0,-97.3002700805664,1,0.0,25.994714736938477,25.994714736938477,25.994714736938477,25.994714736938477
2T2R,-95.0,-90.0,-90.13851928710938,1,0.0,37.15612030029297,37.15612030029297,37.15612030029297,37.15612030029297
2T2R,-90.0,-85.0,-86.92413330078125,2,0.5,21.599929809570312,21.922700881958008,21.599929809570312,24.598365592956544
2T2R,-85.0,-80.0,-83.46285247802734,4,0.5,26.217227935791016,27.924123764038086,24.771835327148438,37.02711582183838
2T2R,-80.0,-75.0,-78.30990600585938,7,0.2857142857142857,22.059179306030273,26.674753189086914,19.045331954956055,43.576239013671874
2T2R,-75.0,-70.0,-71.64502716064453,9,0.4444444444444444,17.268775939941406,21.800594329833984,12.519604682922363,30.59450607299805
2T2R,-70.0,-65.0,-67.5238037109375,16,0.4375,19.3133487701416,21.185720443725586,16.52817153930664,31.197593688964844
2T2R,-65.0,-60.0,-61.74027633666992,23,0.21739130434782608,17.590316772460938,19.0693302154541,17.00269317626953,25.441887283325197
2T2R,-60.0,-55.0,-57.17119598388672,48,0.375,18.25387191772461,21.847145080566406,13.969645500183105,31.43984870910646
2T2R,-55.0,-50.0,-52.20323944091797,80,0.4625,17.335433959960938,21.51704216003418,12.95177936553955,33.208020019531254
2T2R,-50.0,-45.0,-46.74860382080078,116,0.49137931034482757,16.017196655273438,19.79543685913086,12.628800392150879,33.73613929748535
2T2R,-45.0,-40.0,-42.33993911743164,237,0.3628691983122363,16.167102813720703,19.388948440551758,12.387285232543945,31.718858337402345
2T2R,-40.0,-35.0,-37.24574279785156,294,0.282312925170068,15.129860877990723,18.764968872070312,11.627639770507812,30.209492492675782
2T2R,-35.0,-30.0,-32.59471130371094,355,0.3380281690140845,16.607908248901367,20.814950942993164,12.583019256591797,32.59996185302735
2T2R,-30.0,-25.0,-27.300594329833984,400,0.305,18.258893966674805,23.818735122680664,13.47099494934082,41.9205680847168
2T2R,-25.0,-20.0,-22.43518829345703,351,0.4472934472934473,14.330005645751953,19.106992721557617,9.399067878723145,33.83635330200195
2T2R,-20.0,-15.0,-17.77959442138672,242,0.6157024793388429,10.018502235412598,13.064658164978027,7.4839582443237305,21.06893367767334
2T2R,-15.0,-10.0,-12.731728553771973,183,0.8524590163934426,6.538085460662842,8.54135513305664,4.98516321182251,12.342657089233398
2T2R,-10.0,-5.0,-7.639195442199707,98,0.9897959183673469,5.440999507904053,6.414488315582275,4.932561874389648,9.76923542022705
2T2R,-5.0,0.0,-3.1862220764160156,26,1.0,4.974000930786133,5.641604423522949,4.45936393737793,7.914518356323242
2T1R,-100.0,-95.0,-97.3002700805664,1,0.0,43.115501403808594,43.115501403808594,43.115501403808594,43.115501403808594
2T1R,-95.0,-90.0,-90.13851928710938,1,0.0,58.52913284301758,58.52913284301758,58.52913284301758,58.52913284301758
2T1R,-90.0,-85.0,-86.92413330078125,2,0.0,57.014488220214844,60.564884185791016,57.014488220214844,73.35982551574708
2T1R,-85.0,-80.0,-83.46285247802734,4,0.0,59.15823745727539,60.48932647705078,57.245140075683594,72.88351860046387
2T1R,-80.0,-75.0,-78.30990600585938,7,0.42857142857142855,27.719165802001953,31.820167541503906,25.345409393310547,47.845635986328126
2T1R,-75.0,-70.0,-71.64502716064453,9,0.6666666666666666,16.181476593017578,20.594776153564453,9.728212356567383,29.16575317382813
2T1R,-70.0,-65.0,-67.5238037109375,16,0.875,9.250300407409668,10.132988929748535,8.832246780395508,15.05981969833374
2T1R,-65.0,-60.0,-61.74027633666992,23,0.4782608695652174,12.534296035766602,15.751355171203613,11.089027404785156,23.231165313720705
2T1R,-60.0,-55.0,-57.17119598388672,48,0.75,15.791492462158203,20.652362823486328,11.220791816711426,38.34947967529297
2T1R,-55.0,-50.0,-52.20323944091797,80,0.725,17.704021453857422,22.531322479248047,14.317220687866211,43.19724655151368
2T1R,-50.0,-45.0,-46.74860382080078,116,0.9224137931034483,19.462154388427734,23.293046951293945,15.72919750213623,39.82973861694336
2T1R,-45.0,-40.0,-42.33993911743164,237,0.9367088607594937,16.517234802246094,19.315568923950195,13.47553539276123,30.58471488952637
2T1R,-40.0,-35.0,-37.24574279785156,294,0.9795918367346939,15.85351276397705,17.84393882751465,15.149401664733887,26.48686008453369
2T1R,-35.0,-30.0,-32.59471130371094,355,0.9746478873239437,14.027374267578125,16.134597778320312,12.77297592163086,24.800474548339842
2T1R,-30.0,-25.0,-27.300594329833984,400,0.99,13.254345893859863,14.908151626586914,11.751801490783691,22.53203868865967
2T1R,-25.0,-20.0,-22.43518829345703,351,0.9829059829059829,12.735617637634277,14.266724586486816,12.0238676071167,21.265724182128906
2T1R,-20.0,-15.0,-17.77959442138672,242,0.9586776859504132,10.508018493652344,12.404595375061035,9.323427200317383,16.17661066055298
2T1R,-15.0,-10.0,-12.731728553771973,183,0.9836065573770492,8.22475528717041,9.12074089050293,7.8544158935546875,13.114768028259277
2T1R,-10.0,-5.0,-7.639195442199707,98,0.9897959183673469,7.981371879577637,8.72850227355957,7.8254194259643555,12.17006673812866
2T1R,-5.0,0.0,-3.1862220764160156,26,1.0,5.931960582733154,7.036158561706543,4.4071502685546875,11.13703727722168
1T2R,-100.0,-95.0,-97.3002700805664,1,0.0,42.24448776245117,42.24448776245117,42.24448776245117,42.24448776245117
1T2R,-95.0,-90.0,-90.13851928710938,1,0.0,60.9679069519043,60.9679069519043,60.9679069519043,60.9679069519043
1T2R,-90.0,-85.0,-86.92413330078125,2,0.0,55.06166458129883,57.47816467285156,55.06166458129883,68.25444717407227
1T2R,-85.0,-80.0,-83.46285247802734,4,0.0,58.790016174316406,59.43852233886719,57.634864807128906,68.13899650573731
1T2R,-80.0,-75.0,-78.30990600585938,7,0.14285714285714285,41.81657791137695,49.035072326660156,46.28431701660156,69.92485198974609
1T2R,-75.0,-70.0,-71.64502716064453,9,0.2222222222222222,32.90841293334961,42.660614013671875,40.21806716918945,73.16675872802735
1T2R,-70.0,-65.0,-67.5238037109375,16,0.3125,33.038818359375,40.00360870361328,33.26324462890625,66.4516830444336
1T2R,-65.0,-60.0,-61.74027633666992,23,0.08695652173913043,24.61767578125,29.9691219329834,23.633407592773438,50.78191604614258
1T2R,-60.0,-55.0,-57.17119598388672,48,0.2708333333333333,28.324554443359375,35.28163146972656,20.816600799560547,61.10875167846682
1T2R,-55.0,-50.0,-52.20323944091797,80,0.325,26.046045303344727,32.76632308959961,19.58710289001465,53.3355754852295
1T2R,-50.0,-45.0,-46.74860382080078,116,0.3275862068965517,27.163814544677734,33.58554458618164,23.61540412902832,57.44671058654785
1T2R,-45.0,-40.0,-42.33993911743164,237,0.2616033755274262,26.25499725341797,31.550148010253906,23.408374786376953,50.413674163818364
1T2R,-40.0,-35.0,-37.24574279785156,294,0.21768707482993196,21.340045928955078,25.398653030395508,18.423736572265625,39.88150062561034
1T2R,-35.0,-30.0,-32.59471130371094,355,0.30985915492957744,17.14251708984375,20.8568058013916,13.161416053771973,34.889712524414065
1T2R,-30.0,-25.0,-27.300594329833984,400,0.345,16.858009338378906,20.119220733642578,14.068134307861328,32.29365501403809
1T2R,-25.0,-20.0,-22.43518829345703,351,0.452991452991453,14.215038299560547,18.114545822143555,11.02181625366211,29.54531478881836
1T2R,-20.0,-15.0,-17.77959442138672,242,0.8016528925619835,9.19165325164795,11.67061710357666,7.475370407104492,18.30365562438965
1T2R,-15.0,-10.0,-12.731728553771973,183,0.9234972677595629,6.3056640625,7.643655776977539,5.343474388122559,12.161503219604494
1T2R,-10.0,-5.0,-7.639195442199707,98,0.9693877551020408,7.186543941497803,8.087309837341309,6.611186981201172,11.995306587219238
1T2R,-5.0,0.0,-3.1862220764160156,26,0.9615384615384616,6.83439826965332,7.279850959777832,6.4899492263793945,10.241283893585205
1T1R,-100.0,-95.0,-97.3002700805664,1,1.0,84.29348754882812,84.29348754882812,84.29348754882812,84.29348754882812
1T1R,-95.0,-90.0,-90.13851928710938,1,1.0,99.8581771850586,99.8581771850586,99.8581771850586,99.8581771850586
1T1R,-90.0,-85.0,-86.92413330078125,2,1.0,99.11560821533203,101.38836669921875,99.11560821533203,116.19328155517579
1T1R,-85.0,-80.0,-83.46285247802734,4,1.0,107.23622131347656,108.07205200195312,110.03756713867188,120.19024047851562
1T1R,-80.0,-75.0,-78.30990600585938,7,0.8571428571428571,75.71357727050781,83.87295532226562,87.8199234008789,109.35081787109375
1T1R,-75.0,-70.0,-71.64502716064453,9,0.4444444444444444,60.64036178588867,70.42546844482422,63.49805450439453,107.88053894042969
1T1R,-70.0,-65.0,-67.5238037109375,16,0.625,58.620872497558594,64.70647430419922,53.432945251464844,98.09019470214844
1T1R,-65.0,-60.0,-61.74027633666992,23,0.4782608695652174,42.396812438964844,46.21065902709961,46.735565185546875,64.74888763427735
1T1R,-60.0,-55.0,-57.17119598388672,48,0.4166666666666667,48.71133041381836,52.182212829589844,50.608375549316406,70.43700790405276
1T1R,-55.0,-50.0,-52.20323944091797,80,0.425,37.05277633666992,41.18216323852539,35.907623291015625,58.675383377075214
1T1R,-50.0,-45.0,-46.74860382080078,116,0.4051724137931034,30.880796432495117,34.716102600097656,31.831274032592773,52.05937385559082
1T1R,-45.0,-40.0,-42.33993911743164,237,0.31645569620253167,24.25185775756836,27.550731658935547,22.696142196655273,40.84558792114258
1T1R,-40.0,-35.0,-37.24574279785156,294,0.23469387755102042,25.722875595092773,29.585529327392578,23.435991287231445,41.689589691162105
1T1R,-35.0,-30.0,-32.59471130371094,355,0.3436619718309859,27.447574615478516,31.429683685302734,25.071561813354492,49.38885040283204
1T1R,-30.0,-25.0,-27.300594329833984,400,0.5425,22.52930450439453,26.743749618530273,19.707393646240234,41.51434669494629
1T1R,-25.0,-20.0,-22.43518829345703,351,0.7948717948717948,15.162568092346191,18.4240665435791,13.119988441467285,27.114139556884766
1T1R,-20.0,-15.0,-17.77959442138672,242,0.8925619834710744,10.212015151977539,12.220519065856934,8.996843338012695,19.2511869430542
1T1R,-15.0,-10.0,-12.731728553771973,183,0.9781420765027322,7.937422752380371,9.276633262634277,7.191123962402344,14.379694938659668
1T1R,-10.0,-5.0,-7.639195442199707,98,0.9897959183673469,7.22597599029541,8.768573760986328,6.515438079833984,13.397944259643552
1T1R,-5.0,0.0,-3.1862220764160156,26,1.0,5.329525947570801,6.639332294464111,3.5458476543426514,10.800522327423096
